candidate_table,candidate_column,similarity_score
SportFacility_left,title,0.6590569019317627
Stadium_right,title,0.6431301832199097
SportFacility_right,title,0.6377147436141968
NationalFootballLeagueSeason_right,id,0.626245379447937
Venue_right,title,0.6148739457130432
NaturalEvent_left,id,0.6143834590911865
Galaxy_right,id,0.6125141978263855
MotorsportSeason_right,id,0.6091610193252563
Noble_right,id,0.6087551116943359
TennisTournament_left,id,0.6083149909973145
RugbyLeague_left,id,0.6067420244216919
ShoppingMall_right,title,0.6066663265228271
UnitOfWork_right,id,0.6061923503875732
Case_right,id,0.6061923503875732
SoccerTournament_right,id,0.6039619445800781
Country_right,id,0.6039619445800781
Galaxy_left,id,0.6033143997192383
Song_right,id,0.6029027104377747
EthnicGroup_right,id,0.6028760075569153
HistoricBuilding_right,id,0.6028448939323425
Award_right,id,0.6028071641921997
Venue_right,id,0.6028071641921997
Magazine_right,id,0.6027541756629944
RailwayLine_right,id,0.6027541160583496
FootballLeagueSeason_right,id,0.6027541160583496
Museum_right,id,0.6027541160583496
MotorsportSeason_left,id,0.6026718616485596
GovernmentAgency_right,id,0.6020686626434326
Amphibian_right,id,0.6008323431015015
PoliticalParty_left,id,0.6007180213928223
ShoppingMall_left,title,0.6006617546081543
SoccerLeague_right,title,0.6006584763526917
Stadium_right,id,0.6005995273590088
FootballLeagueSeason_left,id,0.6005823612213135
Tournament_right,id,0.6003939509391785
SportsLeague_right,id,0.6003939509391785
ChristianBishop_right,id,0.6003939509391785
Wrestler_right,id,0.6003939509391785
PoliticalParty_right,id,0.6003939509391785
SoccerLeague_left,id,0.6002572178840637
Legislature_left,id,0.6002572178840637
RugbyLeague_left,title,0.5997813940048218
Race_left,id,0.5993765592575073
BasketballTeam_right,title,0.5988857746124268
Monarch_left,id,0.5986459255218506
RugbyLeague_right,title,0.598329484462738
Tournament_left,title,0.5982841849327087
SoccerClubSeason_left,id,0.5971382856369019
ShoppingMall_right,id,0.5970439910888672
Legislature_right,id,0.5970438718795776
