query_table,query_column,query_index,candidate_table,candidate_column,similarity_score,query_sample_values,candidate_sample_values
RailwayLine_left.csv,title,1,RailwayLine_right,title,0.698635995388031,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","Central line (London Underground), Line 3 Scarborough, Jungfraubahn, Wengernalpbahn, HankyÅ« KyÅto Main Line"
RailwayLine_left.csv,title,1,RailwayLine_left,title,0.6776516437530518,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line"
RailwayLine_left.csv,title,1,GovernmentAgency_right,title,0.5898005962371826,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","Australian Signals Directorate, Executive Office of the President, Communications Security Establishment, Global Affairs Canada, Department of Foreign Affairs, Trade and Development"
RailwayLine_left.csv,title,1,Magazine_left,title,0.5846250057220459,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","Mad (magazine), National Lampoon (magazine), Punch (magazine), Playboy, Rolling Stone"
RailwayLine_left.csv,title,1,SoccerLeague_right,title,0.5841764807701111,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","National League (English football), USL W-League, J1 League, Gibraltar Premier Division, Persian Gulf Pro League"
RailwayLine_left.csv,title,1,TelevisionStation_left,title,0.5819357633590698,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","BBC Red Button, BBC News (TV channel), Channel 4, MTV, BBC World News"
RailwayLine_left.csv,title,1,BasketballTeam_right,title,0.5741754770278931,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","New Orleans Pelicans, Charlotte Hornets, Polonia Warszawa (basketball), Asseco Gdynia, Melbourne United"
RailwayLine_left.csv,title,1,Magazine_right,title,0.565143883228302,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","The Raven: Anarchist Quarterly, Next Magazine (Chinese magazine), Men's Health, Seventeen (American magazine), Liberty (libertarian magazine)"
RailwayLine_left.csv,title,1,SportsLeague_right,title,0.5650290250778198,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","World Rugby Sevens Series, Sevens World Series, FIVB Volleyball World Cup, National Basketball League (Australia), National League (English football)"
RailwayLine_left.csv,title,1,ShoppingMall_right,title,0.560573935508728,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","The Galleria, The Shops at Prudential Center, Fashion Centre at Pentagon City, Sydney Central Plaza, Mahatma Jyotiba Phule Mandai"
RailwayLine_left.csv,title,1,Artwork_left,title,0.558432936668396,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","David (Michelangelo), Venus de Milo, Manneken Pis, Mona Lisa, The Last Supper (Leonardo da Vinci)"
RailwayLine_left.csv,title,1,ArtificialSatellite_left,title,0.5570793747901917,"London Post Office Railway, Waterloo & City line, Tandy Center Subway, Central line, Metropolitan line","Apollo 8, Apollo 11, Apollo 13, Apollo 9, Apollo 7"
