candidate_table,candidate_column,similarity_score
Galaxy_right,title,0.7049747705459595
RugbyLeague_right,id,0.5991173386573792
FootballLeagueSeason_right,id,0.5971124768257141
Hospital_right,id,0.5970468521118164
FootballMatch_right,id,0.5968907475471497
Museum_right,id,0.5968202948570251
RailwayLine_right,id,0.5967290997505188
NaturalEvent_right,id,0.5967122316360474
SoccerClubSeason_right,id,0.5967122316360474
Country_right,id,0.5965818166732788
SoccerTournament_right,id,0.5965818166732788
ArtificialSatellite_right,id,0.5961772799491882
Enzyme_right,id,0.5960092544555664
GivenName_right,id,0.59592205286026
TennisTournament_left,id,0.5958623886108398
Monarch_right,id,0.5958417654037476
SoccerLeague_right,id,0.5958417654037476
Artwork_right,id,0.5958077907562256
Race_right,id,0.5954248905181885
ShoppingMall_right,id,0.5953739285469055
Noble_right,id,0.5953687429428101
Legislature_right,id,0.5952703952789307
Drug_right,id,0.5952206254005432
Magazine_right,id,0.5952087640762329
ShoppingMall_left,id,0.5947979688644409
UnitOfWork_right,id,0.5943236351013184
Case_right,id,0.5943236351013184
Award_right,id,0.5939173698425293
Venue_right,id,0.5939173698425293
ClericalAdministrativeRegion_right,id,0.593769907951355
MotorsportSeason_right,id,0.5936691164970398
BasketballTeam_right,id,0.593593955039978
Song_right,id,0.592392086982727
GovernmentAgency_right,id,0.5918284058570862
Tournament_right,id,0.5916860103607178
HistoricBuilding_right,id,0.5914952158927917
RugbyLeague_left,id,0.5914422273635864
Wrestler_right,id,0.5914321541786194
Song_left,id,0.5907558798789978
SportsLeague_right,id,0.590645968914032
PoliticalParty_right,id,0.5903226733207703
ChristianBishop_right,id,0.5903226733207703
MemberOfParliament_right,id,0.590167760848999
SportFacility_right,id,0.589523434638977
Stadium_right,id,0.5892632603645325
NCAATeamSeason_left,id,0.5888046026229858
Reptile_left,id,0.5886871218681335
Election_left,id,0.5884304046630859
MemberOfParliament_left,id,0.5884281396865845
SportFacility_left,id,0.5882857441902161
